ElectionYear,Winner,PartyAffiliation,PartyAbbrev,Vice President
1788,George Washington,Independant,I,John Adams
1792,George Washington,Independant,I,John Adams
1796,John Adams,Federalist,F,Thomas Jefferson
1800,Thomas Jefferson,Democratric-Republican,DR,Aaron Burr
1804,Thomas Jefferson,Democratric-Republican,DR,George Clinton
1808,James Madison,Democratric-Republican,DR,George Clinton
1812,James Madison,Democratric-Republican,DR,Elbridge Gerry
1816,James Monroe,Democratric-Republican,DR,Daniel D. Tompkins
1820,James Monroe,Democratric-Republican,DR,Daniel D. Tompkins
1824,John Q. Adams,Democratric-Republican,DR,John C. Calhoun
1828,Andrew Jackson,Democratic,D,John C. Calhoun
1832,Andrew Jackson,Democratic,D,Martin Van Buren
1836,Martin Van Buren,Democratic,D,Richard M. Johnson
1840,William H. Harrison,Whig,W,John Tyler
1844,James K. Polk,Democratic,D,George M. Dallas
1848,Zachary Taylor,Whig,W,Millard Fillmore
1852,Franklin Pierce,Democratic,D,William R. King
1856,James Buchanan,Democratic,D,John C. Breckinridge
1860,Abraham Lincoln,Republican,R,Hannibal Hamlin
1864,Abraham Lincoln,Republican,R,Andrew Johnson
1868,Ulysses S. Grant,Republican,R,Schuyler Colfax
1872,Ulysses S. Grant,Republican,R,Henry Wilson
1876,Rutherford B. Hayes,Republican,R,William A. Wheeler
1880,James A. Garfield,Republican,R,Chester A. Arthur
1884,Grover Cleveland,Democratic,D,Thomas A. Hendricks
1888,Benjamin Harrison,Republican,R,Levi P. Morton
1892,Grover Cleveland,Democratic,D,Adlai Stevenson I
1896,William McKinley,Republican,R,Garret Hobart
1900,William McKinley,Republican,R,Theodore Roosevelt Jr.
1904,Theodore Roosevelt,Republican,R,Charles W. Fairbanks
1908,William H. Taft,Republican,R,James S. Sherman
1912,Woodrow Wilson,Democratic,D,Thomas R. Marshall
1916,Woodrow Wilson,Democratic,D,Thomas R. Marshall
1920,William G. Harding,Republican,R,Calvin Coolidge
1924,Calvin Coolidge,Republican,R,Charles G. Dawes
1928,Herbert Hoover,Republican,R,Charles Curtis
1932,Franklin D. Roosevelt,Democratic,D,John N. Garner
1936,Franklin D. Roosevelt,Democratic,D,John N. Garner
1940,Franklin D. Roosevelt,Democratic,D,Henry A. Wallace
1944,Franklin D. Roosevelt,Democratic,D,Harry S. Truman
1948,Harry S. Truman,Democratic,D,Alben W. Barkley
1952,Dwight D. Eisenhower,Republican,R,Richard M. Nixon
1956,Dwight D. Eisenhower,Republican,R,Richard M. Nixon
1960,John F. Kennedy,Democratic,D,Lyndon B. Johnson
1964,Lyndon B. Johnson,Democratic,D,Herbert H. Humphrey
1968,Richard Nixon,Republican,R,Spiro Agnew
1972,Richard Nixon,Republican,R,Spiro Agnew
1976,Jimmy Carter,Democratic,D,Walter Mondale
1980,Ronald Reagan,Republican,R,George H. W. Bush
1984,Ronald Reagan,Republican,R,George H. W. Bush
1988,George H. W. Bush,Republican,R,Dan Quayle
1992,Bill Clinton,Democratic,D,Al Gore Jr.
1996,Bill Clinton,Democratic,D,Al Gore Jr.
2000,George Bush,Republican,R,Dick Cheney
2004,George Bush,Republican,R,Dick Cheney
2008,Barack Obama,Democratic,D,Joe Biden
2012,Barack Obama,Democratic,D,Joe Biden
2016,Donald Trump,Republican,R,Mike Pence
2020,Joe Biden,Democratic,D,Kamala Harris